address,amenities,attraction,num_avg,num_bad,num_excellent,num_good,num_poor,page_link,rating,restaurant,title,total_reviews,walking_grade
"234 West 42nd Street, New York City, NY 10036-7215","Paid private parking on-site,Wifi,Fitness Center with Gym / Workout Room,Bar / lounge,Nightclub / DJ,Business Center with Internet Access,Conference facilities,Baggage storage,Parking,Paid wifi,Paid internet,Internet,Restaurant,Breakfast available,Breakfast buffet,Meeting rooms,Fax / photocopying,Concierge,Gift shop,Non-smoking hotel,Shops,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Allergy-free room,Air conditioning,Desk,Housekeeping,Room service,Refrigerator,Flatscreen TV,Bath / shower,Safe,Iron,Non-smoking rooms,Suites",238,637,173,"4,781","2,474",215,https://www.tripadvisor.com/Hotel_Review-g60763-d208453-Reviews-Hilton_Times_Square-New_York_City_New_York.html,4.5,608,Hilton Times Square,"8,280 reviews",100
"247 W 109th St, New York City, NY 10025-2372",,11,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g60763-d17695081-Reviews-Loft_109_NY-New_York_City_New_York.html,2.0,116,Loft 109 NY,1 review,98
"350 W 88th St, New York City, NY 10024-2206",,4,1,1,2,5,3,https://www.tripadvisor.com/Hotel_Review-g60763-d6922883-Reviews-Riverside_Terrace_New_York-New_York_City_New_York.html,3.5,51,Riverside Terrace New York,12 reviews,94
"East 14th Street & Broadway Union Square, New York City, NY 10003","Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Children Activities (Kid / Family Friendly),Airport transportation,Spa,Concierge,Dry cleaning,Free internet,Wifi,Internet,Laundry service,Self-serve laundry,Air conditioning,Microwave,Refrigerator,Suites",91,0,1,39,4,2,https://www.tripadvisor.com/Hotel_Review-g60763-d1752366-Reviews-Prive-New_York_City_New_York.html,4.5,314,Prive,46 reviews,100
"255 W 132nd St, New York City, NY 10027-7803","Free High Speed Internet (WiFi),Free internet,Wifi,Internet,Non-smoking hotel,Seating area,Wake-up service / alarm clock,Complimentary toiletries,Hair dryer,Non-smoking rooms",9,3,0,66,13,1,https://www.tripadvisor.com/Hotel_Review-g60763-d7144541-Reviews-255West_Guesthouse-New_York_City_New_York.html,4.5,44,255West Guesthouse,83 reviews,85
"62-A, Nazim-ud-Din Road F-8/4 Opposite Centarus Mega Mall, New York City, NY 44000",Air conditioning,9,3,2,3,3,0,https://www.tripadvisor.com/Hotel_Review-g60763-d2689635-Reviews-Landmark_Guest_Rooms-New_York_City_New_York.html,3.5,43,Landmark Guest Rooms,11 reviews,90
"Park Row, New York City, NY 10012",,42,0,0,3,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1197102-Reviews-Short_term_stay_nyc-New_York_City_New_York.html,5.0,195,short term stay nyc,3 reviews,100
"30 East 129 Street, New York City, NY 10035-1060","Free High Speed Internet (WiFi),Internet",5,2,0,6,11,1,https://www.tripadvisor.com/Hotel_Review-g60763-d1625940-Reviews-New_York_Hostel_99-New_York_City_New_York.html,4.0,51,New York Hostel 99,20 reviews,88
"22 E 38th St Midtown, New York City, NY 10016-2502","Bar / lounge,Coffee shop,Bicycle rental,Banquet room,Meeting rooms,Baggage storage,Concierge,Laundry service,Breakfast buffet,Fax / photocopying,Photo copier / fax In business center,Non-smoking hotel,Air conditioning,Desk,Fireplace,Housekeeping,Telephone,Wardrobe / closet,Bath / shower,Complimentary toiletries,Bottled water,Clothes rack,Private bathrooms,Wake-up service / alarm clock,Hair dryer,Non-smoking rooms,Suites",86,838,264,357,998,359,https://www.tripadvisor.com/Hotel_Review-g60763-d93470-Reviews-NH_Collection_New_York_Madison_Avenue-New_York_City_New_York.html,3.5,468,NH Collection New York Madison Avenue,"2,816 reviews",100
"9th Avenue and 38th Street Hell's Kitchen, New York City, NY 10018",,91,1,0,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d15582668-Reviews-Times_Square_West_Midtown_Apartment-New_York_City_New_York.html,3.0,341,Times Square West Midtown Apartment,1 review,100
